"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9000,"Atl@TB 01:00PM ET",25.227,"Atl"
"WR","Odell Beckham Jr.",8900,"NYJ@NYG 01:00PM ET",22.255,"NYG"
"WR","DeAndre Hopkins",8800,"Hou@Buf 01:00PM ET",23.645,"Hou"
"WR","Antonio Brown",8600,"Ind@Pit 08:30PM ET",23.455,"Pit"
"QB","Tom Brady",8000,"Phi@NE 04:25PM ET",25.709,"NE"
"RB","Devonta Freeman",8000,"Atl@TB 01:00PM ET",24.440,"Atl"
"TE","Rob Gronkowski",7800,"Phi@NE 04:25PM ET",19.918,"NE"
"WR","A.J. Green",7600,"Cin@Cle 01:00PM ET",17.900,"Cin"
"WR","Julian Edelman",7500,"Phi@NE 04:25PM ET",19.611,"NE"
"WR","Dez Bryant",7500,"Dal@Was 08:30PM ET",11.000,"Dal"
"WR","Larry Fitzgerald",7400,"Ari@StL 01:00PM ET",21.018,"Ari"
"QB","Cam Newton",7400,"Car@NO 04:25PM ET",23.213,"Car"
"WR","Mike Evans",7300,"Atl@TB 01:00PM ET",15.090,"TB"
"WR","Allen Robinson",7300,"Jax@Ten 01:00PM ET",18.609,"Jax"
"RB","Todd Gurley",7300,"Ari@StL 01:00PM ET",17.522,"StL"
"WR","Demaryius Thomas",7200,"Den@SD 04:05PM ET",16.645,"Den"
"WR","Brandon Marshall",7100,"NYJ@NYG 01:00PM ET",21.282,"NYJ"
"QB","Drew Brees",6900,"Car@NO 04:25PM ET",21.990,"NO"
"RB","Matt Forte",6900,"SF@Chi 01:00PM ET",16.250,"Chi"
"WR","Alshon Jeffery",6900,"SF@Chi 01:00PM ET",20.750,"Chi"
"WR","Amari Cooper",6900,"KC@Oak 04:05PM ET",16.227,"Oak"
"QB","Carson Palmer",6700,"Ari@StL 01:00PM ET",23.598,"Ari"
"QB","Matt Ryan",6700,"Atl@TB 01:00PM ET",17.671,"Atl"
"QB","Andrew Luck",6700,"Ind@Pit 08:30PM ET",21.406,"Ind"
"WR","Jarvis Landry",6700,"Bal@Mia 01:00PM ET",19.333,"Mia"
"QB","Philip Rivers",6600,"Den@SD 04:05PM ET",22.667,"SD"
"QB","Ben Roethlisberger",6600,"Ind@Pit 08:30PM ET",22.460,"Pit"
"RB","Adrian Peterson",6600,"Sea@Min 01:00PM ET",20.155,"Min"
"QB","Eli Manning",6500,"NYJ@NYG 01:00PM ET",19.958,"NYG"
"WR","Emmanuel Sanders",6500,"Den@SD 04:05PM ET",16.020,"Den"
"WR","Michael Crabtree",6500,"KC@Oak 04:05PM ET",16.136,"Oak"
"TE","Greg Olsen",6400,"Car@NO 04:25PM ET",15.800,"Car"
"QB","Andy Dalton",6400,"Cin@Cle 01:00PM ET",21.813,"Cin"
"RB","Mark Ingram",6400,"Car@NO 04:25PM ET",17.045,"NO"
"RB","Marshawn Lynch",6300,"Sea@Min 01:00PM ET",12.243,"Sea"
