Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Antonio Brown,8800,Cle@Pit 01:00PM ET,22.889,Pit
WR,Odell Beckham Jr.,8800,NE@NYG 04:25PM ET,21.022,NYG
WR,DeAndre Hopkins,8700,Hou@Cin 08:30PM ET,25.375,Hou
QB,Tom Brady,8600,NE@NYG 04:25PM ET,27.783,NE
WR,Julian Edelman,8200,NE@NYG 04:25PM ET,20.9,NE
TE,Rob Gronkowski,8000,NE@NYG 04:25PM ET,20.913,NE
WR,Dez Bryant,7800,Dal@TB 01:00PM ET,12.467,Dal
WR,A.J. Green,7600,Hou@Cin 08:30PM ET,18.775,Cin
QB,Aaron Rodgers,7500,Det@GB 01:00PM ET,22.598,GB
WR,Calvin Johnson,7500,Det@GB 01:00PM ET,16.738,Det
QB,Drew Brees,7400,NO@Was 01:00PM ET,24.678,NO
WR,Larry Fitzgerald,7400,Ari@Sea 08:30PM ET,21.45,Ari
WR,Demaryius Thomas,7400,KC@Den 04:25PM ET,18.688,Den
WR,Emmanuel Sanders,7300,KC@Den 04:25PM ET,17.488,Den
RB,Todd Gurley,7300,Chi@StL 01:00PM ET,20.7,StL
RB,Adrian Peterson,7100,Min@Oak 04:05PM ET,17.538,Min
WR,Alshon Jeffery,7100,Chi@StL 01:00PM ET,25.8,Chi
QB,Cam Newton,7000,Car@Ten 01:00PM ET,23.138,Car
QB,Carson Palmer,6900,Ari@Sea 08:30PM ET,23.28,Ari
QB,Ben Roethlisberger,6800,Cle@Pit 01:00PM ET,19.844,Pit
RB,Matt Forte,6800,Chi@StL 01:00PM ET,17.671,Chi
WR,Mike Evans,6800,Dal@TB 01:00PM ET,14.257,TB
WR,Amari Cooper,6800,Min@Oak 04:05PM ET,17.838,Oak
QB,Eli Manning,6700,NE@NYG 04:25PM ET,19.251,NYG
RB,Marshawn Lynch,6700,Ari@Sea 08:30PM ET,12.283,Sea
WR,Randall Cobb,6700,Det@GB 01:00PM ET,15.35,GB
WR,Jarvis Landry,6700,Mia@Phi 01:00PM ET,18.17,Mia
WR,Allen Robinson,6700,Jax@Bal 01:00PM ET,19.088,Jax
RB,DeAngelo Williams,6500,Cle@Pit 01:00PM ET,12.244,Pit
QB,Andy Dalton,6500,Hou@Cin 08:30PM ET,22.905,Cin
RB,Mark Ingram,6400,NO@Was 01:00PM ET,17.667,NO
TE,Greg Olsen,6300,Car@Ten 01:00PM ET,16.425,Car
RB,Dion Lewis,6300,NE@NYG 04:25PM ET,17.314,NE
QB,Peyton Manning,6200,KC@Den 04:25PM ET,14.3,Den
RB,DeMarco Murray,6200,Mia@Phi 01:00PM ET,17.429,Phi
WR,Jordan Matthews,6200,Mia@Phi 01:00PM ET,14.763,Phi
RB,Justin Forsett,6000,Jax@Bal 01:00PM ET,14.425,Bal
WR,Brandin Cooks,6000,NO@Was 01:00PM ET,14.667,NO
QB,Russell Wilson,5900,Ari@Sea 08:30PM ET,16.678,Sea
WR,Michael Crabtree,5800,Min@Oak 04:05PM ET,18.138,Oak
QB,Derek Carr,5800,Min@Oak 04:05PM ET,21.133,Oak
TE,Tyler Eifert,5800,Hou@Cin 08:30PM ET,17.175,Cin
WR,Allen Hurns,5800,Jax@Bal 01:00PM ET,17.938,Jax
QB,Sam Bradford,5700,Mia@Phi 01:00PM ET,15.068,Phi
RB,Latavius Murray,5700,Min@Oak 04:05PM ET,14.675,Oak
RB,Doug Martin,5600,Dal@TB 01:00PM ET,15.888,TB
QB,Blake Bortles,5600,Jax@Bal 01:00PM ET,21.44,Jax
QB,Joe Flacco,5500,Jax@Bal 01:00PM ET,18.83,Bal
WR,Jeremy Maclin,5500,KC@Den 04:25PM ET,16.629,KC
WR,John Brown,5500,Ari@Sea 08:30PM ET,16.357,Ari
RB,Eddie Lacy,5500,Det@GB 01:00PM ET,7.625,GB
WR,Martavis Bryant,5500,Cle@Pit 01:00PM ET,17.825,Pit
QB,Brian Hoyer,5400,Hou@Cin 08:30PM ET,19.34,Hou
WR,DeSean Jackson,5400,NO@Was 01:00PM ET,2.25,Was
QB,Matthew Stafford,5400,Det@GB 01:00PM ET,16.678,Det
RB,Lamar Miller,5400,Mia@Phi 01:00PM ET,17.963,Mia
WR,James Jones,5300,Det@GB 01:00PM ET,13.913,GB
QB,Ryan Tannehill,5300,Mia@Phi 01:00PM ET,18.498,Mia
QB,Landry Jones,5300,Cle@Pit 01:00PM ET,8.98,Pit
QB,Marcus Mariota,5300,Car@Ten 01:00PM ET,20.517,Ten
RB,Jeremy Hill,5300,Hou@Cin 08:30PM ET,9.863,Cin
QB,Kirk Cousins,5200,NO@Was 01:00PM ET,16.233,Was
WR,Travis Benjamin,5200,Cle@Pit 01:00PM ET,15.256,Cle
QB,Jay Cutler,5100,Chi@StL 01:00PM ET,18.226,Chi
QB,Shaun Hill,5100,Min@Oak 04:05PM ET,0.5,Min
TE,Jason Witten,5100,Dal@TB 01:00PM ET,11.913,Dal
QB,Teddy Bridgewater,5100,Min@Oak 04:05PM ET,13.638,Min
WR,Stefon Diggs,5100,Min@Oak 04:05PM ET,18.6,Min
QB,Mike Vick,5000,Cle@Pit 01:00PM ET,6.348,Pit
QB,Josh McCown,5000,Cle@Pit 01:00PM ET,19.64,Cle
QB,Matt Cassel,5000,Dal@TB 01:00PM ET,10.83,Dal
QB,Charlie Whitehurst,5000,Car@Ten 01:00PM ET,0,Ten
QB,Tarvaris Jackson,5000,Ari@Sea 08:30PM ET,0,Sea
QB,Derek Anderson,5000,Car@Ten 01:00PM ET,0,Car
QB,Dan Orlovsky,5000,Det@GB 01:00PM ET,3.68,Det
QB,Matt Moore,5000,Mia@Phi 01:00PM ET,0.36,Mia
QB,Drew Stanton,5000,Ari@Sea 08:30PM ET,-0.1,Ari
QB,Alex Smith,5000,KC@Den 04:25PM ET,17.87,KC
QB,Matt Schaub,5000,Jax@Bal 01:00PM ET,0,Bal
QB,Luke McCown,5000,NO@Was 01:00PM ET,1.925,NO
QB,Chad Henne,5000,Jax@Bal 01:00PM ET,0,Jax
QB,Joe Webb,5000,Car@Ten 01:00PM ET,-0.013,Car
QB,Mark Sanchez,5000,Mia@Phi 01:00PM ET,0,Phi
QB,Chase Daniel,5000,KC@Den 04:25PM ET,0.16,KC
QB,Colt McCoy,5000,NO@Was 01:00PM ET,0,Was
QB,T.J. Yates,5000,Hou@Cin 08:30PM ET,0,Hou
QB,Scott Tolzien,5000,Det@GB 01:00PM ET,0,GB
QB,Thaddeus Lewis,5000,Mia@Phi 01:00PM ET,0,Phi
QB,Case Keenum,5000,Chi@StL 01:00PM ET,0,StL
QB,Jimmy Clausen,5000,Chi@StL 01:00PM ET,3.58,Chi
QB,Kellen Moore,5000,Dal@TB 01:00PM ET,0,Dal
QB,Brandon Weeden,5000,Dal@TB 01:00PM ET,9.63,Dal
QB,Austin Davis,5000,Cle@Pit 01:00PM ET,0,Cle
QB,Nick Foles,5000,Chi@StL 01:00PM ET,11.265,StL
QB,Robert Griffin III,5000,NO@Was 01:00PM ET,0,Was
QB,Mike Glennon,5000,Dal@TB 01:00PM ET,0,TB
QB,Ryan Nassib,5000,NE@NYG 04:25PM ET,0,NYG
QB,Ryan Griffin,5000,Dal@TB 01:00PM ET,0,TB
QB,Matt McGloin,5000,Min@Oak 04:05PM ET,11.68,Oak
QB,Matt Barkley,5000,Ari@Sea 08:30PM ET,0,Ari
QB,Zach Mettenberger,5000,Car@Ten 01:00PM ET,4.185,Ten
QB,Aaron Murray,5000,KC@Den 04:25PM ET,0,KC
QB,Brock Osweiler,5000,KC@Den 04:25PM ET,0,Den
QB,AJ McCarron,5000,Hou@Cin 08:30PM ET,-0.2,Cin
QB,Garrett Grayson,5000,NO@Was 01:00PM ET,0,NO
QB,Trevor Siemian,5000,KC@Den 04:25PM ET,0,Den
QB,Jimmy Garoppolo,5000,NE@NYG 04:25PM ET,-0.125,NE
QB,Sean Mannion,5000,Chi@StL 01:00PM ET,0,StL
QB,Brett Hundley,5000,Det@GB 01:00PM ET,0,GB
QB,Johnny Manziel,5000,Cle@Pit 01:00PM ET,8.548,Cle
QB,Taylor Heinicke,5000,Min@Oak 04:05PM ET,0,Min
QB,Jameis Winston,5000,Dal@TB 01:00PM ET,17.423,TB
RB,James Starks,4900,Det@GB 01:00PM ET,11.138,GB
RB,Darren McFadden,4900,Dal@TB 01:00PM ET,12.725,Dal
TE,Jimmy Graham,4900,Ari@Sea 08:30PM ET,12.25,Sea
RB,LeGarrette Blount,4900,NE@NYG 04:25PM ET,12.771,NE
WR,Willie Snead,4900,NO@Was 01:00PM ET,13.733,NO
TE,Gary Barnidge,4800,Cle@Pit 01:00PM ET,16.356,Cle
WR,Pierre Garcon,4800,NO@Was 01:00PM ET,12.625,Was
TE,Travis Kelce,4800,KC@Den 04:25PM ET,14.475,KC
WR,Tavon Austin,4800,Chi@StL 01:00PM ET,14.963,StL
RB,Jeremy Langford,4800,Chi@StL 01:00PM ET,6.288,Chi
RB,T.J. Yeldon,4800,Jax@Bal 01:00PM ET,13.7,Jax
RB,Charcandrick West,4800,KC@Den 04:25PM ET,7.213,KC
TE,Delanie Walker,4700,Car@Ten 01:00PM ET,15.371,Ten
WR,Vincent Jackson,4700,Dal@TB 01:00PM ET,11.65,TB
TE,Martellus Bennett,4700,Chi@StL 01:00PM ET,12.638,Chi
WR,Kendall Wright,4700,Car@Ten 01:00PM ET,12.2,Ten
RB,Giovani Bernard,4700,Hou@Cin 08:30PM ET,12.825,Cin
WR,Rishard Matthews,4700,Mia@Phi 01:00PM ET,15.3,Mia
RB,Chris Johnson,4600,Ari@Sea 08:30PM ET,13.275,Ari
WR,Golden Tate,4600,Det@GB 01:00PM ET,10.513,Det
TE,Jordan Reed,4600,NO@Was 01:00PM ET,16.3,Was
WR,Kamar Aiken,4500,Jax@Bal 01:00PM ET,8.663,Bal
WR,Nate Washington,4400,Hou@Cin 08:30PM ET,15.183,Hou
TE,Benjamin Watson,4300,NO@Was 01:00PM ET,13.244,NO
RB,Jonathan Stewart,4300,Car@Ten 01:00PM ET,11.05,Car
RB,Shane Vereen,4300,NE@NYG 04:25PM ET,11.144,NYG
WR,Marvin Jones,4300,Hou@Cin 08:30PM ET,11.4,Cin
WR,Davante Adams,4200,Det@GB 01:00PM ET,7.66,GB
WR,Breshad Perriman,4200,Jax@Bal 01:00PM ET,0,Bal
WR,Brandon LaFell,4100,NE@NYG 04:25PM ET,10.467,NE
WR,Victor Cruz,4000,NE@NYG 04:25PM ET,0,NYG
WR,Danny Amendola,4000,NE@NYG 04:25PM ET,9.813,NE
RB,Ronnie Hillman,4000,KC@Den 04:25PM ET,9.575,Den
RB,Alfred Blue,4000,Hou@Cin 08:30PM ET,6.225,Hou
RB,Duke Johnson Jr.,4000,Cle@Pit 01:00PM ET,11.311,Cle
DST,Cardinals ,3900,Ari@Sea 08:30PM ET,10.125,Ari
WR,Rueben Randle,3900,NE@NYG 04:25PM ET,11.044,NYG
RB,Rashad Jennings,3800,NE@NYG 04:25PM ET,8.956,NYG
WR,Michael Floyd,3800,Ari@Sea 08:30PM ET,9.113,Ari
WR,Terrance Williams,3800,Dal@TB 01:00PM ET,8.625,Dal
WR,Marquess Wilson,3800,Chi@StL 01:00PM ET,7.088,Chi
RB,C.J. Anderson,3800,KC@Den 04:25PM ET,8.3,Den
WR,Mike Wallace,3700,Min@Oak 04:05PM ET,7.825,Min
RB,Andre Ellington,3700,Ari@Sea 08:30PM ET,8.24,Ari
TE,Julius Thomas,3700,Jax@Bal 01:00PM ET,7.65,Jax
RB,Antonio Andrews,3700,Car@Ten 01:00PM ET,10,Ten
DST,Rams ,3600,Chi@StL 01:00PM ET,11,StL
RB,Darren Sproles,3600,Mia@Phi 01:00PM ET,8.35,Phi
WR,Dwayne Harris,3600,NE@NYG 04:25PM ET,7.367,NYG
WR,Kenny Britt,3600,Chi@StL 01:00PM ET,6.888,StL
WR,Marlon Brown,3600,Jax@Bal 01:00PM ET,2.95,Bal
DST,Seahawks ,3500,Ari@Sea 08:30PM ET,11.125,Sea
RB,Marcel Reece,3500,Min@Oak 04:05PM ET,7.638,Oak
RB,Taiwan Jones,3500,Min@Oak 04:05PM ET,4.683,Oak
RB,Ryan Mathews,3500,Mia@Phi 01:00PM ET,11.7,Phi
RB,Charles Sims,3500,Dal@TB 01:00PM ET,10.275,TB
WR,Jamison Crowder,3500,NO@Was 01:00PM ET,9.3,Was
RB,Thomas Rawls,3500,Ari@Sea 08:30PM ET,6.675,Sea
WR,Devin Funchess,3500,Car@Ten 01:00PM ET,4.013,Car
DST,Broncos ,3400,KC@Den 04:25PM ET,14.875,Den
WR,Marques Colston,3400,NO@Was 01:00PM ET,9.513,NO
WR,Eddie Royal,3400,Chi@StL 01:00PM ET,8.167,Chi
WR,Ted Ginn Jr.,3400,Car@Ten 01:00PM ET,9.95,Car
WR,Doug Baldwin,3400,Ari@Sea 08:30PM ET,9.688,Sea
RB,David Johnson,3400,Ari@Sea 08:30PM ET,10.088,Ari
RB,Jamize Olawale,3400,Min@Oak 04:05PM ET,2.5,Oak
RB,Ameer Abdullah,3400,Det@GB 01:00PM ET,7.225,Det
RB,Isaiah Crowell,3400,Cle@Pit 01:00PM ET,8.256,Cle
WR,Nelson Agholor,3400,Mia@Phi 01:00PM ET,3.5,Phi
DST,Bengals ,3300,Hou@Cin 08:30PM ET,7.75,Cin
DST,Panthers ,3300,Car@Ten 01:00PM ET,9.75,Car
WR,Bryan Walters,3300,Jax@Bal 01:00PM ET,8.314,Jax
RB,Dexter McCluster,3300,Car@Ten 01:00PM ET,8.088,Ten
RB,Alfred Morris,3300,NO@Was 01:00PM ET,5.388,Was
RB,Theo Riddick,3300,Det@GB 01:00PM ET,11.763,Det
RB,Javorius Allen,3300,Jax@Bal 01:00PM ET,3.588,Bal
TE,Eric Ebron,3300,Det@GB 01:00PM ET,11.7,Det
RB,Matt Jones,3300,NO@Was 01:00PM ET,8.929,Was
DST,Packers ,3200,Det@GB 01:00PM ET,7.875,GB
DST,Patriots ,3200,NE@NYG 04:25PM ET,8.75,NE
WR,Harry Douglas,3200,Car@Ten 01:00PM ET,5.8,Ten
WR,Jerricho Cotchery,3200,Car@Ten 01:00PM ET,6.333,Car
RB,Chris Polk,3200,Hou@Cin 08:30PM ET,5.175,Hou
WR,Chris Givens,3200,Jax@Bal 01:00PM ET,2.871,Bal
RB,Knile Davis,3200,KC@Den 04:25PM ET,1.938,KC
RB,Chris Thompson,3200,NO@Was 01:00PM ET,8.586,Was
RB,Joique Bell,3200,Det@GB 01:00PM ET,5.68,Det
RB,Orleans Darkwa,3200,NE@NYG 04:25PM ET,1.711,NYG
WR,Adam Humphries,3200,Dal@TB 01:00PM ET,3.66,TB
WR,Dorial Green-Beckham,3200,Car@Ten 01:00PM ET,5.263,Ten
WR,Jermaine Kearse,3100,Ari@Sea 08:30PM ET,7.6,Sea
WR,Justin Hunter,3100,Car@Ten 01:00PM ET,5.713,Ten
WR,Kenny Stills,3100,Mia@Phi 01:00PM ET,6.238,Mia
WR,Corey Brown,3100,Car@Ten 01:00PM ET,7.425,Car
DST,Steelers ,3000,Cle@Pit 01:00PM ET,7.667,Pit
TE,Heath Miller,3000,Cle@Pit 01:00PM ET,7.944,Pit
WR,Greg Jennings,3000,Mia@Phi 01:00PM ET,2.55,Mia
WR,Lance Moore,3000,Det@GB 01:00PM ET,8.463,Det
WR,Jason Avant,3000,KC@Den 04:25PM ET,1.95,KC
WR,Miles Austin,3000,Mia@Phi 01:00PM ET,4.9,Phi
WR,Andre Caldwell,3000,KC@Den 04:25PM ET,1.388,Den
WR,Dwayne Bowe,3000,Cle@Pit 01:00PM ET,1.525,Cle
RB,Tyler Clutts,3000,Dal@TB 01:00PM ET,0.175,Dal
WR,Matthew Slater,3000,NE@NYG 04:25PM ET,0,NE
RB,Tim Hightower,3000,NO@Was 01:00PM ET,0,NO
WR,Marcus Thigpen,3000,Min@Oak 04:05PM ET,-0.2,Oak
RB,Cedric Peerman,3000,Hou@Cin 08:30PM ET,0,Cin
RB,Mike Tolbert,3000,Car@Ten 01:00PM ET,4.738,Car
WR,Andrew Hawkins,3000,Cle@Pit 01:00PM ET,6.1,Cle
WR,Darrius Heyward-Bey,3000,Cle@Pit 01:00PM ET,5.544,Pit
RB,John Kuhn,3000,Det@GB 01:00PM ET,1.525,GB
WR,Seyi Ajirotutu,3000,Mia@Phi 01:00PM ET,0,Phi
WR,Marlon Moore,3000,Cle@Pit 01:00PM ET,0.313,Cle
WR,Brandon Tate,3000,Hou@Cin 08:30PM ET,1.738,Cin
RB,Darrel Young,3000,NO@Was 01:00PM ET,0.388,Was
RB,Antone Smith,3000,Chi@StL 01:00PM ET,0.55,Chi
WR,Brian Hartline,3000,Cle@Pit 01:00PM ET,5.775,Cle
RB,Jorvorskie Lane,3000,Dal@TB 01:00PM ET,0.188,TB
WR,Jordan Norwood,3000,KC@Den 04:25PM ET,3.167,Den
WR,Marc Mariani,3000,Chi@StL 01:00PM ET,0.9,Chi
WR,Andre Roberts,3000,NO@Was 01:00PM ET,3.5,Was
WR,Jacoby Jones,3000,Cle@Pit 01:00PM ET,0,Pit
WR,Riley Cooper,3000,Mia@Phi 01:00PM ET,5.438,Phi
RB,Fred Jackson,3000,Ari@Sea 08:30PM ET,5.325,Sea
WR,Jeremy Ross,3000,Jax@Bal 01:00PM ET,4.25,Bal
RB,Toby Gerhart,3000,Jax@Bal 01:00PM ET,1.94,Jax
RB,Chase Reynolds,3000,Chi@StL 01:00PM ET,0,StL
RB,C.J. Spiller,3000,NO@Was 01:00PM ET,8.05,NO
WR,Joseph Morgan,3000,Jax@Bal 01:00PM ET,0,Bal
RB,Fozzy Whittaker,3000,Car@Ten 01:00PM ET,1.638,Car
RB,Matt Asiata,3000,Min@Oak 04:05PM ET,2.663,Min
WR,Charles Johnson,3000,Min@Oak 04:05PM ET,3.617,Min
WR,Brian Quick,3000,Chi@StL 01:00PM ET,0.88,StL
RB,Joe Banyard,3000,Jax@Bal 01:00PM ET,0,Jax
RB,Anthony Sherman,3000,KC@Den 04:25PM ET,0.413,KC
RB,Will Tukuafu,3000,Ari@Sea 08:30PM ET,0,Sea
RB,Robert Turbin,3000,Cle@Pit 01:00PM ET,2.933,Cle
RB,Will Johnson,3000,Cle@Pit 01:00PM ET,0.744,Pit
RB,Bobby Rainey,3000,Dal@TB 01:00PM ET,0.738,TB
RB,Roy Helu Jr.,3000,Min@Oak 04:05PM ET,3.133,Oak
RB,Isaiah Pead,3000,Cle@Pit 01:00PM ET,-0.35,Pit
RB,George Winn,3000,Det@GB 01:00PM ET,0,Det
RB,Kenjon Barner,3000,Mia@Phi 01:00PM ET,0,Phi
WR,Brice Butler,3000,Dal@TB 01:00PM ET,3.45,Dal
WR,Cole Beasley,3000,Dal@TB 01:00PM ET,9.575,Dal
RB,Zach Line,3000,Min@Oak 04:05PM ET,2.45,Min
WR,Brenton Bersin,3000,Car@Ten 01:00PM ET,1.95,Car
RB,Derrick Coleman,3000,Ari@Sea 08:30PM ET,0.2,Sea
RB,Jonathan Grimes,3000,Hou@Cin 08:30PM ET,4.283,Hou
WR,Frankie Hammond Jr.,3000,KC@Den 04:25PM ET,0,KC
WR,Jaron Brown,3000,Ari@Sea 08:30PM ET,2.625,Ari
WR,T.J. Graham,3000,NO@Was 01:00PM ET,0,NO
WR,Keshawn Martin,3000,NE@NYG 04:25PM ET,7.167,NE
WR,Myles White,3000,NE@NYG 04:25PM ET,0.62,NYG
RB,Jordan Todman,3000,Cle@Pit 01:00PM ET,0.156,Pit
WR,Jarius Wright,3000,Min@Oak 04:05PM ET,4.263,Min
RB,Brandon Bolden,3000,NE@NYG 04:25PM ET,2.357,NE
RB,Jonas Gray,3000,Mia@Phi 01:00PM ET,4.233,Mia
TE,Kyle Rudolph,3000,Min@Oak 04:05PM ET,7.188,Min
WR,Russell Shepard,3000,Dal@TB 01:00PM ET,0.32,TB
WR,Mohamed Sanu,3000,Hou@Cin 08:30PM ET,7.55,Cin
WR,Ryan Grant,3000,NO@Was 01:00PM ET,5.3,Was
WR,Markus Wheaton,3000,Cle@Pit 01:00PM ET,5.278,Pit
RB,Rex Burkhead,3000,Hou@Cin 08:30PM ET,1.175,Cin
RB,Benny Cunningham,3000,Chi@StL 01:00PM ET,4.938,StL
RB,Nikita Whitlock,3000,NE@NYG 04:25PM ET,0,NYG
RB,Kyle Juszczyk,3000,Jax@Bal 01:00PM ET,5.613,Bal
RB,Bryce Brown,3000,Ari@Sea 08:30PM ET,0,Sea
TE,Zach Ertz,3000,Mia@Phi 01:00PM ET,7.55,Phi
RB,Stepfan Taylor,3000,Ari@Sea 08:30PM ET,0.313,Ari
WR,Rico Richardson,3000,Car@Ten 01:00PM ET,0,Ten
RB,Brandon Wegher,3000,Car@Ten 01:00PM ET,0,Car
WR,Kevin Norwood,3000,Car@Ten 01:00PM ET,0,Car
WR,Ricardo Lockette,3000,Ari@Sea 08:30PM ET,2.113,Sea
RB,Christine Michael,3000,Dal@TB 01:00PM ET,1.375,Dal
RB,Denard Robinson,3000,Jax@Bal 01:00PM ET,2.88,Jax
WR,Bennie Fowler,3000,KC@Den 04:25PM ET,3.25,Den
WR,Jared Abbrederis,3000,Det@GB 01:00PM ET,0,GB
WR,Devin Street,3000,Dal@TB 01:00PM ET,1.825,Dal
WR,Chris Matthews,3000,Ari@Sea 08:30PM ET,1.175,Sea
WR,Aaron Dobson,3000,NE@NYG 04:25PM ET,3.817,NE
RB,Bernard Pierce,3000,Jax@Bal 01:00PM ET,0.686,Jax
WR,Stedman Bailey,3000,Chi@StL 01:00PM ET,4.525,StL
RB,Spencer Ware,3000,KC@Den 04:25PM ET,2.667,KC
RB,Jay Prosch,3000,Hou@Cin 08:30PM ET,0.35,Hou
RB,Jalston Fowler,3000,Car@Ten 01:00PM ET,1.263,Ten
WR,TJ Jones,3000,Det@GB 01:00PM ET,0.16,Det
RB,Roosevelt Nix,3000,Cle@Pit 01:00PM ET,0,Pit
WR,Rod Streater,3000,Min@Oak 04:05PM ET,1.8,Oak
RB,Marcus Murphy,3000,NO@Was 01:00PM ET,0.556,NO
RB,Andre Williams,3000,NE@NYG 04:25PM ET,3.044,NYG
RB,Rod Smith,3000,Dal@TB 01:00PM ET,0.167,Dal
WR,Joshua Bellamy,3000,Chi@StL 01:00PM ET,2.813,Chi
WR,Neal Sterling,3000,Jax@Bal 01:00PM ET,0,Jax
RB,Malcolm Johnson,3000,Cle@Pit 01:00PM ET,0.489,Cle
WR,Josh Huff,3000,Mia@Phi 01:00PM ET,5.157,Phi
RB,Juwan Thompson,3000,KC@Den 04:25PM ET,0.514,Den
RB,James White,3000,NE@NYG 04:25PM ET,2.283,NE
